county,month,rainfall_mm,temperature_c,humidity,soil_moisture_index
Kiambu,1,139.86856612044932,24.88836083119373,51.7797098674437,0.5018817551480527
Kiambu,2,114.46942795315262,24.783165816539668,67.27205049833401,0.7138939047129935
Kiambu,3,145.9075415240277,24.015340369927383,82.44619096643123,0.595216178971367
Kiambu,4,180.92119425632103,23.29623859987456,72.84119186699891,0.29776065624885784
Kiambu,5,110.63386501106656,19.753887773848756,67.8024468035746,0.24234124844025792
Kiambu,6,110.63452172203277,22.738064031703924,48.887059750830744,0.5854515669237894
Kiambu,7,183.16851262029564,22.971856450419693,69.6002890679668,0.2159067863249731
Kiambu,8,150.69738916611635,21.593168192335142,84.60215400417053,0.551465348764078
Kiambu,9,101.22102456260191,23.516142865001974,50.603360609460964,0.7641381448549747
Kiambu,10,141.7024017434386,25.212152570443614,65.73318609454947,0.5452845067255274
Kiambu,11,101.4632922875015,29.65855770363159,80.09492287711822,0.4329019557239132
Kiambu,12,101.37080985718973,24.523733438495515,74.63074471016817,0.585972931065412
Machakos,1,129.67849086264135,24.772651172168292,72.88062963981072,0.47495173429491006
Machakos,2,43.46879021368808,23.7766622527015,73.09936335948437,0.527370073589561
Machakos,3,51.00328669947869,18.243686354102877,59.37964604879021,0.7648788852659152
Machakos,4,97.50849883036109,23.920458373652348,56.74367377057973,0.4316615826804646
Machakos,5,79.48675518662304,24.18069062982308,77.37444621914054,0.7767143382943487
Machakos,6,132.56989330381094,31.38972633745586,77.40453578716723,0.7432103851736382
Machakos,7,83.67903697915156,23.422917105656634,79.68289274320415,0.3174746808735779
Machakos,8,63.50785194658834,24.904642027000836,81.52962210225886,0.24161678052509927
Machakos,9,178.62595075686215,23.89586469088427,65.4536959544375,0.260466800826456
Machakos,10,110.96894798053857,20.493965887141403,65.06065178748798,0.21093309539092986
Machakos,11,122.70112818751696,27.42846844354506,76.931807158671,0.25666577645355704
Machakos,12,63.01007255146173,26.255799098060322,70.99855723111061,0.6098040640498141
Nakuru,1,98.2246910189927,26.373095841129143,73.07867509030814,0.24271318907613743
Nakuru,2,124.43690358839464,21.271837635615782,76.83170677744404,0.39138537817625685
Nakuru,3,73.96025690310789,28.2083829328083,80.60021367270265,0.7069251865816728
Nakuru,4,135.02792073382687,19.794446811623157,58.51980627406143,0.21396316144149552
Nakuru,5,95.9744524032478,25.76057128140081,60.02331810559776,0.6886810895533615
Nakuru,6,108.33225000826893,30.571366877429938,48.75927759363476,0.36911286486404
Nakuru,7,95.93173551082413,21.028391024607934,68.13120563984697,0.27089889657299376
Nakuru,8,194.0911273803575,22.301106811191683,46.43769095186968,0.6180422992184904
